user name,request number,time round ratio,waiting_time,running_time,node_hour,request_cost,request_type,end
s9,56,53.0,"1 day, 2:00:00",0:30:00,1.0,6.0,short,2022-01-06 02:30:00
s9,57,55.0,"1 day, 3:00:00",0:30:00,1.0,6.0,short,2022-01-06 03:30:00
s9,58,57.0,"1 day, 4:00:00",0:30:00,1.0,6.0,short,2022-01-06 04:30:00
s9,59,59.0,"1 day, 5:00:00",0:30:00,1.0,6.0,short,2022-01-06 05:30:00
s9,60,3.6666666666666665,16:00:00,6:00:00,54.0,324.0,medium,2022-01-05 22:00:00
s9,61,2.272727272727273,14:00:00,11:00:00,341.0,2046.0,large,2022-01-06 01:00:00
s9,62,65.5,"5 days, 9:00:00",2:00:00,14.0,92.39999999999999,gpu,2022-01-10 11:00:00
s9,63,3.4285714285714284,17:00:00,7:00:00,28.0,168.0,medium,2022-01-06 00:00:00
s9,64,61.0,"1 day, 6:00:00",0:30:00,1.0,6.0,short,2022-01-06 06:30:00
s9,65,63.0,"1 day, 7:00:00",0:30:00,1.0,6.0,short,2022-01-06 07:30:00
s10,66,3.7142857142857144,19:00:00,7:00:00,21.0,126.0,medium,2022-01-06 02:00:00
s10,67,4.333333333333333,20:00:00,6:00:00,48.0,288.0,medium,2022-01-06 02:00:00
s10,68,4.5,21:00:00,6:00:00,54.0,324.0,medium,2022-01-06 03:00:00
